"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist"
"Rural Damascus","Hassakeh",20,Jan 2016,Oct 2015,284.5,1265,800,412.5,2627.5,1475,0,-0.525684788482633,-0.0223217536289292,-0.458569717168805,-0.374675878026522,40.74627,36.50787,36.95411,33.51673,479926.271494711
"Hassakeh","Raqqa",106,Jan 2016,Oct 2015,380,2259,1500,284.5,1265,800,0,-0.274003271055781,-0.525684788482633,-0.00554298580047237,-0.458569717168805,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Rural Damascus","Damascus",45,Jan 2016,Oct 2015,239.5,1017.5,1475,412.5,2627.5,1475,0,0.934068012593107,-0.0223217536289292,1.62199749355984,-0.374675878026522,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",35,Jan 2016,Oct 2015,242.5,1125,700,283.25,1261.25,1000,0,0.430704977739404,-0.425012181511892,-0.290782038884238,-0.441790949340349,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",599,Jan 2016,Oct 2015,428,3700,875,284.5,1265,800,0,0.39714744208249,-0.525684788482633,-0.441790949340349,-0.458569717168805,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Rural Damascus","Deir Ezzor",60,Jan 2016,Oct 2015,428,3700,875,412.5,2627.5,1475,0,0.39714744208249,-0.0223217536289292,-0.441790949340349,-0.374675878026522,40.13503,35.32965,36.95411,33.51673,354994.722148592
"Deir Ezzor","Homs",83,Jan 2016,Oct 2015,306.5,1257.5,975,428,3700,875,0,0.179023460312552,0.39714744208249,2.07502422492817,-0.441790949340349,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Daraa","Rural Damascus",73,Jan 2016,Oct 2015,412.5,2627.5,1475,242.5,1125,700,0,-0.0223217536289292,0.430704977739404,-0.374675878026522,-0.290782038884238,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Deir Ezzor","Hassakeh",4135,Feb 2016,Nov 2015,292,1240,800,453,3775,1000,1,-0.307560806712694,-0.357897110198065,-0.458569717168805,-0.0558792892858427,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",598,Feb 2016,Nov 2015,380,2264.5,1500,292,1240,800,1,-0.0223217536289292,-0.307560806712694,0.732722798651626,-0.458569717168805,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Hassakeh","Damascus",4,Feb 2016,Nov 2015,221,1080,1475,292,1240,800,1,1.03474061956385,-0.307560806712694,0.615271423852429,-0.458569717168805,36.27653,33.51381,40.74627,36.50787,526352.757196946
"Rural Damascus","Damascus",245,Feb 2016,Nov 2015,221,1080,1475,437.5,2627.5,1475,1,1.03474061956385,-0.190109431913497,0.615271423852429,-0.17333066408504,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",195,Feb 2016,Nov 2015,287.5,1144,700,294.75,1255,1050,1,-0.0558792892858427,-0.542463556311089,0.128687156827182,-0.525684788482633,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",76,Feb 2016,Nov 2015,453,3775,1000,292,1240,800,1,-0.357897110198065,-0.307560806712694,-0.0558792892858427,-0.458569717168805,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Deir Ezzor","Homs",170,Feb 2016,Nov 2015,297.5,1270,1100,453,3775,1000,1,0.380368674254034,-0.357897110198065,1.31997967264761,-0.0558792892858427,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Al_Qunaytirah","Rural Damascus",5,Feb 2016,Nov 2015,437.5,2627.5,1475,294.75,1255,1050,1,-0.190109431913497,-0.542463556311089,-0.17333066408504,-0.525684788482633,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",3763,Mar 2016,Dec 2015,316.5,1127.5,800,467.5,2475,1000,2,-0.492127252825719,-0.525684788482633,-0.357897110198065,-0.324339574541151,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",245,Mar 2016,Dec 2015,375,2277.5,1500,316.5,1127.5,800,2,-0.240445735398867,-0.492127252825719,-0.357897110198065,-0.357897110198065,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",18,Mar 2016,Dec 2015,375,2277.5,1500,467.5,2475,1000,2,-0.240445735398867,-0.525684788482633,-0.357897110198065,-0.324339574541151,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Deir Ezzor","Damascus",26,Mar 2016,Dec 2015,303,1080,1500,467.5,2475,1000,2,-0.290782038884238,-0.525684788482633,1.85690024315823,-0.324339574541151,36.27653,33.51381,40.13503,35.32965,407871.512206207
"Rural Damascus","Damascus",95,Mar 2016,Dec 2015,303,1080,1500,564,3435,1475,2,-0.290782038884238,-0.559242324139546,1.85690024315823,-0.0894368249427563,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",305,Mar 2016,Dec 2015,335,1170,700,331.25,1148.75,1090,2,-0.458569717168805,-0.59279985979646,0.195802228141009,-0.559242324139546,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Deir Ezzor","Homs",112,Mar 2016,Dec 2015,311.5,1275,1100,467.5,2475,1000,2,3.33343181206243,-0.525684788482633,1.00118308390693,-0.324339574541151,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Daraa","Al_Qunaytirah",15,Mar 2016,Dec 2015,331.25,1148.75,1090,335,1170,700,2,-0.59279985979646,-0.458569717168805,-0.559242324139546,0.195802228141009,35.8258,33.1263,36.10331,32.62643,61396.3611573498
"Daraa","Rural Damascus",15,Mar 2016,Dec 2015,564,3435,1475,335,1170,700,2,-0.559242324139546,-0.458569717168805,-0.0894368249427563,0.195802228141009,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Deir Ezzor","Rural Damascus",14,Mar 2016,Dec 2015,564,3435,1475,467.5,2475,1000,2,-0.559242324139546,-0.525684788482633,-0.0894368249427563,-0.324339574541151,36.95411,33.51673,40.13503,35.32965,354994.722148592
"Al_Qunaytirah","Rural Damascus",150,Mar 2016,Dec 2015,564,3435,1475,331.25,1148.75,1090,2,-0.559242324139546,-0.59279985979646,-0.0894368249427563,-0.559242324139546,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",852,Apr 2016,Jan 2016,300,1830,800,450,2825,1100,3,-0.475348484997262,-0.458569717168805,-0.525684788482633,0.39714744208249,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",463,Apr 2016,Jan 2016,250,2275,1500,300,1830,800,3,-0.374675878026522,-0.475348484997262,-0.274003271055781,-0.525684788482633,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Deir Ezzor","Raqqa",150,Apr 2016,Jan 2016,250,2275,1500,450,2825,1100,3,-0.374675878026522,-0.458569717168805,-0.274003271055781,0.39714744208249,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Rural Damascus","Damascus",40,Apr 2016,Jan 2016,312.5,1111.66665,1500,529.1667,4741.66665,1500,3,0.648828959509342,-0.542463556311089,0.934068012593107,-0.0223217536289292,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Al_Qunaytirah","Daraa",135,Apr 2016,Jan 2016,325,1150,900,300,1140,1150,3,-0.374675878026522,-0.525684788482633,0.430704977739404,-0.425012181511892,36.10331,32.62643,35.8258,33.1263,61396.3611573498
"Hassakeh","Deir Ezzor",225,Apr 2016,Jan 2016,450,2825,1100,300,1830,800,3,-0.458569717168805,-0.475348484997262,0.39714744208249,-0.525684788482633,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Deir Ezzor","Homs",529,Apr 2016,Jan 2016,271.66665,1015.83335,1000,450,2825,1100,3,0.464262513396318,-0.458569717168805,0.179023460312552,0.39714744208249,36.7137,34.73243,40.13503,35.32965,318853.589763632
"Rural Damascus","Homs",50,Apr 2016,Jan 2016,271.66665,1015.83335,1000,529.1667,4741.66665,1500,3,0.464262513396318,-0.542463556311089,0.179023460312552,-0.0223217536289292,36.7137,34.73243,36.95411,33.51673,137132.346030061
"Daraa","Rural Damascus",1380,Apr 2016,Jan 2016,529.1667,4741.66665,1500,325,1150,900,3,-0.542463556311089,-0.374675878026522,-0.0223217536289292,0.430704977739404,36.95411,33.51673,36.10331,32.62643,126968.754404616
