"","flowLag1","dist","Destination","Origin","OriginConflict","DestConflict","DestConflict3","OriginConflict3","DestFuel","OrigFood","NumMonths","OrigFuel","DestWage","DestFood","OrigWage"
"flowLag1",0.0494691059741727,0.111350096981649,0.105834851991375,0.117352358730075,0.121282947985547,0.145078067501531,0.149584784891243,0.147228804397808,0.16335806295685,0.155449153451607,0.169675260864945,0.164409307118281,0.182032662581909,0.174540750990573,0.181635674674401
"dist",0.0995273113519121,0.0747159429265233,0.110559049328065,0.119862741356009,0.12809916235809,0.156885048387174,0.161380889728786,0.146265008251128,0.165401813476052,0.169321299800078,0.166701859262128,0.163278520991717,0.184618441413601,0.181130244875844,0.192490109494602
"Destination",0.0955291891101107,0.116825493504243,0.0786509848215828,0.120696039690818,0.125400125375042,0.155502366612277,0.154635223498963,0.151820839855256,0.173222986968835,0.160151832526654,0.172128487490696,0.161043217426684,0.189065735176466,0.177735065286937,0.183810682304788
"Origin",0.115571049453792,0.153028036081603,0.14540161082871,0.118049979765119,0.149693040583167,0.155988193104252,0.157414172493314,0.163756848668935,0.167351529536668,0.179105857935457,0.169641079336228,0.160873842331186,0.190318166445885,0.172321716275192,0.195998717264773
"OriginConflict",0.134574850460484,0.168084028611755,0.152356848455534,0.169204274031558,0.131756734048879,0.178881837508672,0.177723843024582,0.190000301997251,0.185473445086756,0.196132739883395,0.209914471071397,0.194793907379245,0.216144518579079,0.197218942089417,0.234049485845103
"DestConflict",0.161266498413618,0.216018302760802,0.214715075848659,0.186503793357997,0.19129635223293,0.147977937462515,0.209831243382871,0.205579277394945,0.219232454874549,0.230962811737392,0.240435220206041,0.210635650377727,0.26037425463595,0.238379102441074,0.253150921508484
"DestConflict3",0.156864986451719,0.217321515579513,0.221623393406709,0.204445710018545,0.201857248809169,0.220115731216519,0.151665828498699,0.213524120343059,0.224058168663571,0.229661262282385,0.249348527003874,0.215149514237352,0.276929528056559,0.23726019013823,0.267659033907008
"OriginConflict3",0.163112936300773,0.224791448419067,0.203622975956493,0.209260726547872,0.19720759918997,0.204626672805217,0.212930799450546,0.15772892684499,0.214239777207844,0.227850132428444,0.244799745008174,0.216995450430875,0.261297003837087,0.240167545314947,0.272131687133591
"DestFuel",0.183404810585959,0.265821431237298,0.256048816355744,0.232459891818261,0.222062835620419,0.243954749989658,0.241076328628535,0.235054989611116,0.181193857397845,0.244097935723287,0.267842277197585,0.232135234244762,0.306783173152385,0.273260876165933,0.294920065668555
"OrigFood",0.196470997194763,0.265467697715119,0.248614458602786,0.251984073788381,0.220020604334942,0.235627749904744,0.242334893365485,0.244341032273391,0.246472756786744,0.186203538433396,0.270199052217618,0.248606222525885,0.300081237056978,0.270961690061893,0.310658131600867
"NumMonths",0.210989875007435,0.31878079132213,0.285956626981587,0.259841703354303,0.258357457760752,0.275065351539211,0.276666522489677,0.261798076810157,0.280914947403481,0.296872814198709,0.189887238273202,0.265339535939301,0.340076226658468,0.307965997789881,0.328874566117614
"OrigFuel",0.191669894442951,0.265738854981485,0.232952423270146,0.241610499083857,0.215187293973693,0.224307922095964,0.223332056087411,0.223083898949423,0.23480768468101,0.254578877396067,0.258803035771418,0.192850713636801,0.271299072862384,0.252534268236587,0.292285796732507
"DestWage",0.230002099187437,0.337800578238448,0.321739889054948,0.297022156546098,0.257539000746266,0.283159985178295,0.295287962127237,0.282128148413596,0.300335416994352,0.298828930647806,0.317270319585965,0.279694031512526,0.198686442499596,0.320540046552885,0.353259552371059
"DestFood",0.216742390063584,0.299050699771293,0.297211269905655,0.265550506659202,0.234678398170756,0.267755706729394,0.274385838471041,0.256123204221707,0.28055070650348,0.273163190897622,0.307227315316163,0.259588067158048,0.33801924146881,0.199638851449875,0.321797286138055
"OrigWage",0.234217194460166,0.352442803268283,0.329999814952849,0.341451417308182,0.284515211127022,0.283334482119188,0.30122463320649,0.290443144079862,0.299794510623535,0.320455743583042,0.331997009668178,0.294536150364943,0.356044774656887,0.328350466660103,0.203013827907584
