Destination,Origin,M_Size,Date,DataDate,OrigFood,OrigFuel,OrigWage,DestFood,DestFuel,DestWage,NumMonths
Damascus,Hassakeh,20,Jan 2016,Oct 2015,284.5,1265,800,412.5,2627.5,1475,0
Hassakeh,Raqqa,106,Jan 2016,Oct 2015,380,2259,1500,284.5,1265,800,0
Damascus,City-Damascus,45,Jan 2016,Oct 2015,239.5,1017.5,1475,412.5,2627.5,1475,0
Al_Qunaytirah,Daraa,35,Jan 2016,Oct 2015,242.5,1125,700,283.25,1261.25,1e3,0
Hassakeh,Deir Ezzor,599,Jan 2016,Oct 2015,428,3700,875,284.5,1265,800,0
Damascus,Deir Ezzor,60,Jan 2016,Oct 2015,428,3700,875,412.5,2627.5,1475,0
Deir Ezzor,Homs,83,Jan 2016,Oct 2015,306.5,1257.5,975,428,3700,875,0
Daraa,Damascus,73,Jan 2016,Oct 2015,412.5,2627.5,1475,242.5,1125,700,0
Deir Ezzor,Hassakeh,4135,Feb 2016,Nov 2015,292,1240,800,453,3775,1e3,1
Hassakeh,Raqqa,598,Feb 2016,Nov 2015,380,2264.5,1500,292,1240,800,1
Hassakeh,City-Damascus,4,Feb 2016,Nov 2015,221,1080,1475,292,1240,800,1
Damascus,City-Damascus,245,Feb 2016,Nov 2015,221,1080,1475,437.5,2627.5,1475,1
Al_Qunaytirah,Daraa,195,Feb 2016,Nov 2015,287.5,1144,700,294.75,1255,1050,1
Hassakeh,Deir Ezzor,76,Feb 2016,Nov 2015,453,3775,1e3,292,1240,800,1
Deir Ezzor,Homs,170,Feb 2016,Nov 2015,297.5,1270,1100,453,3775,1e3,1
Al_Qunaytirah,Damascus,5,Feb 2016,Nov 2015,437.5,2627.5,1475,294.75,1255,1050,1
Deir Ezzor,Hassakeh,3763,Mar 2016,Dec 2015,316.5,1127.5,800,467.5,2475,1e3,2
Hassakeh,Raqqa,245,Mar 2016,Dec 2015,375,2277.5,1500,316.5,1127.5,800,2
Deir Ezzor,Raqqa,18,Mar 2016,Dec 2015,375,2277.5,1500,467.5,2475,1e3,2
Deir Ezzor,City-Damascus,26,Mar 2016,Dec 2015,303,1080,1500,467.5,2475,1e3,2
Damascus,City-Damascus,95,Mar 2016,Dec 2015,303,1080,1500,564,3435,1475,2
Al_Qunaytirah,Daraa,305,Mar 2016,Dec 2015,335,1170,700,331.25,1148.75,1090,2
Deir Ezzor,Homs,112,Mar 2016,Dec 2015,311.5,1275,1100,467.5,2475,1e3,2
Daraa,Al_Qunaytirah,15,Mar 2016,Dec 2015,331.25,1148.75,1090,335,1170,700,2
Daraa,Damascus,15,Mar 2016,Dec 2015,564,3435,1475,335,1170,700,2
Deir Ezzor,Damascus,14,Mar 2016,Dec 2015,564,3435,1475,467.5,2475,1e3,2
Al_Qunaytirah,Damascus,150,Mar 2016,Dec 2015,564,3435,1475,331.25,1148.75,1090,2
Deir Ezzor,Hassakeh,852,Apr 2016,Jan 2016,300,1830,800,450,2825,1100,3
Hassakeh,Raqqa,463,Apr 2016,Jan 2016,250,2275,1500,300,1830,800,3
Deir Ezzor,Raqqa,150,Apr 2016,Jan 2016,250,2275,1500,450,2825,1100,3
Damascus,City-Damascus,40,Apr 2016,Jan 2016,312.5,1111.6666500000001,1500,529.1667,4741.66665,1500,3
Al_Qunaytirah,Daraa,135,Apr 2016,Jan 2016,325,1150,900,300,1140,1150,3
Hassakeh,Deir Ezzor,225,Apr 2016,Jan 2016,450,2825,1100,300,1830,800,3
Deir Ezzor,Homs,529,Apr 2016,Jan 2016,271.66665,1015.83335,1e3,450,2825,1100,3
Damascus,Homs,50,Apr 2016,Jan 2016,271.66665,1015.83335,1e3,529.1667,4741.66665,1500,3
Daraa,Damascus,1380,Apr 2016,Jan 2016,529.1667,4741.66665,1500,325,1150,900,3
Al_Qunaytirah,Damascus,5,Apr 2016,Jan 2016,529.1667,4741.66665,1500,300,1140,1150,3
Deir Ezzor,Hassakeh,226,May 2016,Feb 2016,300,1930,800,500,1500,1200,4
Hassakeh,Raqqa,410,May 2016,Feb 2016,287.5,2275,1500,300,1930,800,4
