Model,RMSE,MAE,R^2,RMSE (log),MAE (log),R^2 (log),Sign Acc,,,,,,,
HM,1332.285,287.7768,0.08022252,2.100152,1.750422,0.2975,0.6729,,,,,,,
LOCF,1413.295,325.9204,0.1650631,1.484201,1.130139,0.3339,0.6029,,,,,,,
GLMM,1175.498,276.5948,0.1665139,1.314171,1.018657,0.3719,0.7293,,,,,,,
SVM,1149.046,254.3692,0.2166504,1.371603,1.055826,0.3283819,0.7383,,,,,,,
RF,1140.014,247.0467,0.2068777,1.232085,0.9754136,0.3930327,0.7439,,,,,,,
MERF,1161.148,250.4008,0.1883861,1.248077,0.9818047,0.3833116,0.7468,,,,,,,
XGB,1236.938,258.5135,0.1181699,1.265008,0.9768768,0.369652,0.7586,,,,,,,
MLP,1588.559,329.3871,0.09618372,1.446738,1.094534,0.2618442,0.7208,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Direct Models,RMSE,MAE,R^2,Sign Acc.,,,,,,,,,,
Poisson,1303.026,288.6764,0.06499649,0.5708,,,,,,,,,,
SVM,1934.644,905.7825,0.1012313,0.6255,,,,,,,,,,
RF,1113.122,386.8206,0.3192125,0.6582,,,,,,,,,,
MERF,1433.617,453.1045,0.2474965,0.6407,,,,,,,,,,
XGB,1424.66,496.1676,0.1127317,0.6396,,,,,,,,,,
MLP,3052.827,588.7397,0.1000978,0.6655,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Model,RMSE,MAE,R^2,Sign Acc
,,,,,,,,,,HM,1332.285,287.7768,0.08022252,0.6729
,,,,,,,,,,LOCF,1413.295,325.9204,0.1650631,0.6029
,,,,,,,,,,GLMM,1175.498,276.5948,0.1665139,0.7293
,,,,,,,,,,SVM,1149.046,254.3692,0.2166504,0.7383
,,,,,,,,,,RF,1140.014,247.0467,0.2068777,0.7439
,,,,,,,,,,MERF,1161.148,250.4008,0.1883861,0.7468
,,,,,,,,,,XGB,1236.938,258.5135,0.1181699,0.7586
,,,,,,,,,,MLP,1588.559,329.3871,0.09618372,0.7208
