Assessed Governorate,Assessed District,District PCode,Site Name,Site Name A,Site PCode,Latitude,Longitude,Year of Displacement,Month of displacement  (2015 - 2016),Governorate of Orgin,District of Orgin,District of Orgin PCode,# Conflict IDPs HHs,# Conflict IDP Individuals,# Natural Disaster IDP HHs,# Natural Disaster IDP Individuals,Total IDP HHs,Total IDP Individuals,Avg Family Size,School Buildings,Health Facilities,Religious Buildings,Other Private Building,Other Public Building,Settlements (Grouped of Families) Urban and Rural,Isolated/dispersed settlements (detatched from a location),Rented Accomodation,Host Families Who are Relatives (no rent fee),Host Families Who are not Relatives (no rent fee),Second Home,Unknown,Main Needs,Interview Date,New Round,Source Of Info
Abyan,Ahwar,1209,Al-Bandar,Al-Bandar-البندر,1209211452,13.45555,46.75582,2015,12,Al Hudaydah,Zabid,"1,824",3,18,0,0,3,18,6,0,0,0,0,0,0,0,0,0,3,0,0,Access to income,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Almajba,Almajba-المجباء,1209999937,,,2015,3,Aden,Al Buraiqeh,"2,404",5,30,0,0,5,30,6,0,0,0,0,0,0,0,0,5,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Al-Naeim,Al-Naeim-النعيم,1209211312,13.48464,46.72408,2015,4,Aden,Khur Maksar,"2,408",1,6,0,0,1,6,6,0,0,0,0,0,0,0,0,1,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Al-Sad,Al-Sad-السعد,1209211092,13.46286,46.66895,2015,3,Aden,Al Buraiqeh,"2,404",2,12,0,0,2,12,6,0,0,0,0,0,0,0,0,2,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Al-Souq,Al-Souq-السوق,1209999366,,,2015,4,Taizz,Al Mudhaffar,"1,517",4,24,0,0,4,24,6,0,0,0,0,0,0,0,4,0,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Alwarsha,Alwarsha-الورشة,1209999938,,,2015,3,Aden,Al Buraiqeh,"2,404",2,12,0,0,2,12,6,0,0,0,0,0,0,0,0,2,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Ambsaty,Ambsaty-امبسطي,1209211262,13.49968,46.68948,2015,4,Lahj,Tuban,"2,515",8,48,0,0,8,48,6,0,0,0,0,0,0,7,0,1,0,0,0,Sanitation/ Hygiene,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Cadamat Al-Remah,Cadamat Al-Remah-كدمه الرماح,1209211162,13.46015,46.66097,2015,3,Aden,Al Buraiqeh,"2,404",2,12,0,0,2,12,6,0,0,0,0,0,0,0,0,2,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Husn Al-Shaikh,Husn Al-Shaikh-حصن الشيخ,1209999365,,,2015,4,Aden,Khur Maksar,"2,408",2,12,0,0,2,12,6,0,0,0,0,0,0,0,2,0,0,0,0,Financial support,"Nov 10, 2016",13,IOM
Abyan,Ahwar,1209,Jaol Alhadad,Jaol Alhadad-جول الحدد,1209999939,,,2015,3,Aden,Al Buraiqeh,"2,404",3,18,0,0,3,18,6,0,0,0,0,0,0,0,0,3,0,0,0,Financial support,"Nov 10, 2016",13,IOM
