"","Overall"
"NumMonths",14.5090165916762
"OriginAden",10.3971585940331
"OriginAl Bayda",0.687756114711544
"OriginAl Dhale'e",6.64297281938719
"OriginAl Hudaydah",5.770169407088
"OriginAl Jawf",5.01614092791554
"OriginAl Maharah",3.07522067815969
"OriginAl Mahwit",13.5736974357005
"OriginAmanat Al Asimah",13.1503030144184
"OriginAmran",1.13788261341763
"OriginDhamar",6.60171120961555
"OriginHadramaut",2.79922486886093
"OriginHajjah",4.08954353383335
"OriginIbb",3.98578498713383
"OriginLahj",1.2142629066922
"OriginMarib",0
"OriginRaymah",12.4623808363072
"OriginSa'ada",7.96623421029341
"OriginSana'a",2.94127400189775
"OriginShabwah",5.5005722295812
"OriginTaizz",19.9106516343266
"DestinationAden",9.97610327859476
"DestinationAl Bayda",6.96396371068186
"DestinationAl Dhale'e",9.5714541129417
"DestinationAl Hudaydah",2.5145486958932
"DestinationAl Jawf",5.39427339817974
"DestinationAl Maharah",9.63618569780338
"DestinationAl Mahwit",6.87445983474029
"DestinationAmanat Al Asimah",9.69806266757075
"DestinationAmran",10.9450895440516
"DestinationDhamar",11.1942902244426
"DestinationHadramaut",4.84914040175447
"DestinationHajjah",1.69561924025007
"DestinationIbb",11.0297135706015
"DestinationLahj",3.36615826639248
"DestinationMarib",12.1323899544526
"DestinationRaymah",8.99511389427037
"DestinationSa'ada",1.76969440716862
"DestinationSana'a",6.44699844453798
"DestinationShabwah",6.84234574617881
"DestinationTaizz",8.66672772186825
"DestFood",16.7080340222771
"DestFuel",17.991761425154
"OrigFood",15.6742885707174
"OrigFuel",20.8122366428873
"DestConflict3",17.2524972551135
"OrigConflict3",15.5366419335021
"DestConflict",19.7835373746392
"OrigConflict",17.4160782047373
"dist",48.9763457086223
"flowLag1",100
