"Destination","Origin","Flow","Date","DataDate","DestFood","DestFuel","OrigFood","OrigFuel","DestConflict3","OrigConflict3","DestConflict","OrigConflict","OrigLon","OrigLat","DestLon","DestLat","dist"
"Abyan","Abyan",72,Mar 2015,Dec 2014,250,150,250,150,0.346701202559683,0.346701202559683,3.55213809696849,3.55213809696849,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",612,Apr 2015,Jan 2015,225,150,225,150,2.66173895963271,2.66173895963271,1.94941964976409,1.94941964976409,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",120,May 2015,Feb 2015,212.5,150,212.5,150,0.346701202559683,0.346701202559683,1.41518016736262,1.41518016736262,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",48,Jun 2015,Mar 2015,228.75,206.25,228.75,206.25,3.55213809696849,3.55213809696849,0.524781030026838,0.524781030026838,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",66,Jul 2015,Apr 2015,252.5,496.25,252.5,496.25,1.94941964976409,1.94941964976409,-0.00945845237462912,-0.00945845237462912,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",90,Aug 2015,May 2015,270,907.5,270,907.5,1.41518016736262,1.41518016736262,-0.00945845237462912,-0.00945845237462912,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",18,Dec 2015,Sep 2015,275,562.5,275,562.5,0.702860857493994,0.702860857493994,0.346701202559683,0.346701202559683,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",30,Jan 2017,Oct 2016,306.5,185,306.5,185,-0.721777762243253,-0.721777762243253,-0.126169480179153,-0.126169480179153,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",18,Feb 2017,Nov 2016,301.5,185,301.5,185,-0.543697934776097,-0.543697934776097,-0.178892816030553,-0.178892816030553,46.05632,13.63434,46.05632,13.63434,0
"Abyan","Abyan",198,Mar 2017,Dec 2016,270,190,270,190,-0.543697934776097,-0.543697934776097,-0.178892816030553,-0.178892816030553,46.05632,13.63434,46.05632,13.63434,0
